COD_COLIGADA,COLIGADA
2,Construtora Alfa
8,Imobiliária Beta
9,Incorporadora Gama
10,Urbanizadora Delta
16,Construtora Epsilon
17,Imobiliária Zeta
19,Empreendimentos Ômega
21,Construtora Meridiano
23,Imobiliária Solar
25,Incorporadora Atlas
28,Urbanizadora Horizonte
31,Construtora Primavera
34,Imobiliária Nova Era
37,Incorporadora Cristal
42,Loteadora Sigma
44,Loteadora Bandeirante
47,Construtora Pilar
49,Construtora Vértice
51,Patrimonial Andorra
56,Patrimonial Aurora
58,Empreendimentos Lumen
63,Construtora Ponto Alto
