COD_EMPREENDIMENTO,NOME_EMPREENDIMENTO
100,Condomínio Vista Alegre
130,Residencial Bosque
132,Condomínio Flores
189,Loteamento Vale Verde
195,Residencial Ipê Amarelo
224,Condomínio Solar das Palmeiras
286,Condomínio Terra Nova
312,Residencial Pedra Branca
323,Condomínio Jardins do Sul
363,Condomínio Reserva do Bosque
376,Condomínio Alto da Serra
387,Loteamento Bela Vista
399,Residencial Costa Azul
512,Residencial Jatobá
529,Loteamento Portal do Sertão
532,Parque das Palmeiras
620,Loteamento Campo Belo
623,Parque Residencial Ondina
636,Condomínio Village Toscana
658,Residencial Monte Azul
670,Residencial Recanto Verde
683,Residencial Parque das Águas
684,Residencial Cidade Jardim
689,Condomínio Mirante do Rio
699,Parque das Mangueiras
704,Loteamento Serra Dourada
720,Loteamento Pontal Norte
735,Loteamento Morada do Vale
762,Parque Residencial Guararapes
785,Parque Residencial Aroeira
792,Condomínio Portal do Lago
833,Residencial Aldeia do Sol
834,Loteamento Novo Horizonte
839,Residencial Jardim das Acácias
840,Residencial Flamboyant
858,Residencial Vila Nova
893,Residencial Itapuã
913,Loteamento Colina Real
927,Residencial Quinta do Sol
984,Condomínio Green Park
