NUM_VENDA,ID_LAN,NUM_DOCUMENTO,COD_COLIGADA,COD_EMPREENDIMENTO,CODTDO,ChaveCliente,DATAVENCIMENTO,DATABAIXA,VALOR_LIQUIDO,VALORBAIXA,SALDO,CM,STATUS_PAGAMENTO,DIAS_ATRASO,FAIXA_ATRASO,ENCARGOS
38641,100001,DOC-3524,44,762,71,7-4911,2025-05-10,2025-05-20,276.58,276.58,0.00,0.84,Baixado,10,Fase 1 - 01 a 29 dias,6.10
76899,100002,DOC-1295,47,195,18,2-9279,2024-05-25,2024-05-28,1863.84,1863.84,0.00,1.53,Baixado,3,Fase 1 - 01 a 29 dias,41.92
65315,100003,DOC-7787,17,792,20,2-4974,2024-04-25,2024-07-23,5392.78,5392.78,0.00,132.95,Baixado,89,Fase 3 - 61 a 90 dias,279.89
93990,100004,DOC-8929,17,363,18,2-7040,2025-02-25,2025-03-16,4041.57,4041.57,0.00,29.25,Baixado,19,Fase 1 - 01 a 29 dias,111.73
31638,100005,DOC-9795,28,130,20,7-8088,2025-10-15,2025-10-19,900.97,900.97,0.00,0.55,Baixado,4,Fase 1 - 01 a 29 dias,20.38
22348,100006,DOC-8977,21,132,67,2-4100,2026-05-15,2026-06-21,1071.20,1071.20,0.00,11.62,Baixado,37,Fase 2 - 30 a 60 dias,34.40
55649,100007,DOC-4847,31,532,18,7-8683,2025-04-05,2025-04-11,2171.57,2171.57,0.00,4.50,Baixado,6,Fase 1 - 01 a 29 dias,49.61
33888,100008,DOC-3730,34,376,20,6-3799,2026-07-25,2026-08-04,3853.23,3853.23,0.00,5.38,Baixado,10,Fase 1 - 01 a 29 dias,95.85
85818,100009,DOC-2456,17,792,20,3-8264,2025-04-10,2025-04-15,6209.58,6209.58,0.00,8.99,Baixado,5,Fase 1 - 01 a 29 dias,144.76
18782,100010,DOC-6672,31,399,20,3-6532,2024-09-05,2024-10-10,4604.50,4604.50,0.00,46.82,Baixado,35,Fase 2 - 30 a 60 dias,158.40
38691,100011,DOC-7117,44,762,71,7-7352,2025-04-05,2025-11-20,471.24,471.24,0.00,42.41,Baixado,229,Fase 4 - 91+ dias,43.03
